# P0-100 | average income or wealth | adults | individual | Dollar $ | ppp | constant (2023)
Percentile ;Year ;"USA";"France";"Germany";"China";"United Kingdom";"Japan";"Brazil";"Russian Federation";"South Africa";"India";"Indonesia";"Egypt";"Nigeria"
p0p100;1950;27035.1;15998.0539;12618.4307;1369.7362;19217.9914;6788.6613;8332.1884;10003.5233;12289.5466;2134.9164;2840.053;5251.4844;5324.6927
p0p100;1951;28866.7;16650.6734;13834.7956;1517.2593;19696.4913;7884.314;8459.7378;10401.3033;12473.3473;2156.7426;2954.6533;5225.5507;5607.2559
p0p100;1952;29603.2;16957.3673;15056.0885;1680.1403;19805.3176;8341.1095;8697.3501;10817.1859;12639.7445;2244.9602;2981.4685;5200.2434;5888.0814
p0p100;1953;30520.1;17506.3136;16386.6416;1819.269;21098.7174;8601.3427;8839.794;11242.3994;12983.5963;2255.5067;3019.7438;5165.5608;5895.0954
p0p100;1954;29910.4;18460.7044;17563.0196;1823.8103;21875.7646;8802.0099;9158.3796;11682.8766;13499.8204;2315.644;3107.9899;5136.161;6216.1382
p0p100;1955;32031.6;19374.0734;19555.6108;1876.6819;22378.9909;9459.3299;9561.3124;12080.611;13864.8943;2474.4483;3075.7206;5116.6168;6249.5811
p0p100;1956;32535.3;20114.1066;20815.6235;2016.3335;22457.5961;9825.7594;9378.9167;12405.0714;14421.5158;2463.392;2995.5086;5253.7812;5966.1046
p0p100;1957;32565.9;21087.8895;21750.8123;2164.2145;22584.5856;10450.1297;9880.7621;12665.1093;14695.9599;2513.9297;3119.5101;5393.4722;6093.6488
p0p100;1958;31712.7;21449.6272;22340.4796;2416.5177;22585.8066;10931.9334;10481.7257;12879.8966;14658.2548;2421.4634;2859.8343;5547.7797;5892.4033
p0p100;1959;33655.5;21773.0281;23780.997;2467.2976;23878.9011;11616.4913;11039.6929;13103.6533;14983.2197;2538.8975;2892.8461;5711.2328;6031.9499
p0p100;1960;33924.0;23486.2476;25491.9897;2346.4166;25199.1641;12565.9675;11626.9964;13454.9231;15086.4453;2620.4191;2923.7129;5875.02;6172.4627
p0p100;1961;34378.2;24559.3779;26223.8644;1527.8557;25797.6324;13832.032;12296.3018;14575.1757;15270.5343;2667.349;3011.7171;6060.8362;6033.5121
p0p100;1962;36184.9;26141.1784;27032.0522;1626.8558;25993.1534;14667.3661;12760.6229;15426.7672;16011.6571;2688.8936;2963.1797;6164.2367;6139.8915
p0p100;1963;37389.2;27205.0601;27425.1637;1863.6636;27047.6848;15494.6213;12441.6259;15743.4265;16906.2377;2799.7628;2875.8491;6683.5783;6536.5139
p0p100;1964;39050.7;28835.0426;29040.9762;2125.4897;28461.053;16746.0758;12509.762;16575.6597;17787.0824;2957.4018;2874.4805;7307.1139;6714.1956
p0p100;1965;41077.4;29992.7524;30425.1738;2321.3157;28878.195;17091.4658;12438.3343;17112.6355;18428.3448;2831.6839;2887.2224;7487.3132;6899.1205
p0p100;1966;43236.8;31368.2506;31089.6056;2469.7471;29202.3844;18751.5325;12926.2726;18198.3308;18711.8959;2771.0076;2933.2916;7674.4866;6436.0151
p0p100;1967;43673.7;32469.574;30855.1748;2210.288;29831.0738;20355.4723;13054.645;19274.6;19692.6421;2932.9341;2878.9507;7528.4479;5223.5394
p0p100;1968;44881.9;33492.7322;32605.5913;2059.8749;31205.063;22479.3262;13930.4571;20319.1659;19999.3931;2986.7105;3135.1882;7199.6833;5016.1824
p0p100;1969;45421.1;35420.1601;34914.277;2290.0771;31657.1577;24657.7108;14773.7647;20753.4517;20519.1474;3123.8295;3301.1234;7398.9049;6166.8675
p0p100;1970;44737.2;37354.4498;36478.6977;2557.4353;33103.7996;24419.8692;15377.8142;22287.0372;20869.2353;3205.3463;3366.0833;7386.8777;7460.0391
p0p100;1971;45110.7;38557.9547;37124.9664;2591.0684;33963.1152;25060.5571;16618.8704;22754.6396;21180.0385;3159.4991;3535.7789;7634.4377;8484.6633
p0p100;1972;46608.6;39734.1616;38365.9711;2599.1877;35324.7413;26635.2932;18036.9734;22874.9908;20816.3931;3081.9009;3749.9998;7605.9566;8664.4489
p0p100;1973;48450.4;41774.0638;39973.3356;2672.1511;37626.1198;28433.6899;19908.741;24293.7887;21392.4785;3080.4587;4090.5263;7536.4661;8927.7733
p0p100;1974;46954.7;42701.4547;39901.528;2630.9492;36238.5464;27706.4748;20938.2707;24874.2684;22180.949;3057.7731;4330.7119;7653.0423;9756.5838
p0p100;1975;45502.0;41693.0643;39486.3109;2716.3805;35371.5992;28316.9636;21108.9813;25574.0072;21582.5977;3169.9485;4430.85;8159.9181;9749.3943
p0p100;1976;47278.6;43019.1872;41537.6155;2463.1141;36317.1516;29188.9761;22530.417;26061.9612;21167.6212;3172.9784;4591.3703;8863.3637;10197.7504
p0p100;1977;48583.4;43919.1309;42644.0162;2575.2702;36629.2832;30104.8552;22762.9273;26540.649;20444.6711;3268.3387;4875.9695;9113.7844;10835.4834
p0p100;1978;50290.8;45177.8288;43816.0294;2782.6008;37960.8408;31424.7782;23044.7705;26737.5164;20413.5317;3387.7588;5100.0278;9875.3405;10339.1415
p0p100;1979;50777.9;46564.5148;45221.2061;2920.1607;38950.5038;32682.2461;23735.5947;26602.8947;20670.3526;3208.9006;5236.2479;10616.7887;9842.0962
p0p100;1980;49223.1;46721.2927;45299.2089;2994.9681;37874.1461;33053.7315;25121.2755;27473.6962;21947.0397;3219.9181;5638.5823;11029.9317;9754.8321
p0p100;1981;49599.4;46704.8839;44956.7851;3105.638;38000.525;33727.3778;22932.9384;27663.2;22444.5555;3334.3999;5798.6591;11382.9386;9392.523
p0p100;1982;47330.7;47098.2457;44315.5852;3306.1429;38770.2459;34450.2114;22118.7615;27916.0723;21474.3585;3355.8571;5759.2471;12478.1454;8487.2643
p0p100;1983;49004.1;46859.1259;44778.674;3442.3266;40206.3562;35062.8261;20472.5507;28318.3846;20409.6445;3460.0304;6105.4501;13706.1944;7411.7836
p0p100;1984;52095.6;47077.511;45877.4715;3719.0152;41114.8192;36242.2997;21000.1116;28327.0458;21056.8545;3535.2979;6332.9823;14433.2767;7153.7637
p0p100;1985;53311.2;47714.4677;46641.0259;3927.6669;42339.3822;37806.684;22255.8977;28653.5155;19948.2405;3598.7663;6343.7554;14503.4146;7371.5409
p0p100;1986;54171.9;48292.8005;47214.6422;4013.2083;43419.403;38482.8323;23578.7089;29024.8438;19045.899;3655.7523;6514.4254;14845.6054;7171.4988
p0p100;1987;55325.6;49049.2424;47396.9772;4171.493;44520.6397;39890.4226;23955.6381;28555.6431;19305.4808;3710.4658;6575.5691;15449.6385;6943.2616
p0p100;1988;57087.0;51014.5595;48911.6958;4266.3647;46693.8077;42182.4522;23166.9711;29257.4787;19803.7658;3900.4823;6780.6466;15897.7356;7391.7425
p0p100;1989;58727.1;52850.6952;50422.6128;4215.1169;47610.3602;43628.7323;23614.9165;29475.9116;19648.8519;4059.5051;7154.9879;16289.288;7376.5806
p0p100;1990;59107.5;53622.3525;52559.5233;4060.9607;47443.2287;45284.4554;22015.1995;30139.8221;19111.598;4159.8424;7583.5516;16556.267;7971.739
p0p100;1991;57840.0;53486.1602;54877.5017;4181.2911;46646.6446;45919.8075;21783.3887;29796.6769;19198.519;4123.0802;8075.5537;16758.4327;7863.0072
p0p100;1992;59410.1;53698.5785;55331.0162;4448.4292;46833.313;45433.0895;21047.7575;25999.5785;18902.9216;4168.67;8437.6402;16733.4804;8134.4983
p0p100;1993;60382.7;52765.8174;53958.9273;4749.9709;47907.8391;44410.5916;21451.1018;24557.1678;19280.1655;4261.8161;8895.993;17262.6567;7626.8549
p0p100;1994;62199.5;53617.4299;54807.5245;5060.0999;50182.8124;44257.4019;22451.9947;21470.0372;19549.7608;4439.4943;9369.2894;17564.8194;7310.6732
p0p100;1995;63087.3;54422.203;55283.1444;5477.0455;50588.8123;44953.0291;22908.992;20969.099;19461.1502;4656.3141;9854.0143;18052.6104;7462.3916
p0p100;1996;64867.9;55137.3248;55628.8066;5514.3392;51726.9858;45774.6157;22792.5929;23135.5805;19730.1;4878.8052;10352.1687;18717.2599;7583.3628
p0p100;1997;66877.8;56976.7423;56314.2175;5776.1928;54401.3959;45846.2929;22936.8472;23640.5982;19755.3329;4997.2153;10515.1097;19200.4363;7610.6507
p0p100;1998;69010.4;58898.5017;57230.5392;5617.4678;56944.0849;44406.7386;22251.2895;22009.9546;19329.4775;5138.0148;8345.4853;19582.6551;7642.392
p0p100;1999;71416.7;60996.1327;58291.7433;5836.8534;57964.8847;43711.0141;21429.1304;24723.9912;19171.7614;5438.983;8392.7117;19854.1025;7203.713
p0p100;2000;73317.0;62599.8613;59655.9474;6119.9273;60528.9422;44352.6456;22019.4375;28320.1237;19545.173;5545.5356;8752.107;20298.1487;7342.0809
p0p100;2001;72916.1;63397.4742;60293.3457;6393.7259;61700.6946;44158.1756;21589.1432;30064.242;19732.49;5641.0124;8952.1907;20540.2172;7595.7108
p0p100;2002;73213.9;63109.8741;59483.1867;7013.0205;62752.7839;43860.621;21694.8858;31460.7095;20355.3875;5715.7993;9213.8562;20298.3576;8633.0473
p0p100;2003;74528.3;63147.1667;58924.3544;7548.1498;63817.389;44487.4868;21335.361;33294.1455;20673.924;5966.4046;9496.7204;20436.3364;8984.8536
p0p100;2004;76687.3;64407.2071;60388.1036;8276.4078;64552.7678;45392.3496;22144.5182;36318.3073;21442.3125;6290.7529;9564.8651;20634.5974;9397.518
p0p100;2005;78327.5;65206.9084;60738.553;8896.0877;66024.8991;46010.1877;22328.5186;38546.9775;22277.8561;6581.903;9901.848;21190.0832;9857.6605
p0p100;2006;79169.7;66401.1649;63474.4237;9884.5205;65851.0518;46732.6344;22725.9791;41621.4246;22831.236;6917.3707;10313.4971;22273.1584;10230.8627
p0p100;2007;80090.2;67355.854;64759.217;10962.2929;67107.3621;47146.0107;23680.0902;45407.6508;23131.9432;7272.5039;10800.7813;23273.2333;10254.6111
p0p100;2008;79146.5;66516.1751;64941.9745;11491.4222;66034.8202;46014.7756;24442.4244;47723.0587;23201.4333;7436.6154;11401.1038;23827.6542;10705.3479
p0p100;2009;75501.9;63933.5918;61224.5921;12049.6708;61778.0788;42842.0624;23884.2927;42922.2915;22289.1745;7692.4115;11644.5829;23890.5465;11186.7028
p0p100;2010;77404.3;65195.2732;63601.9878;13097.5257;63680.4785;44704.3527;25040.8782;44657.5279;22680.6488;8109.5174;12114.2282;23720.6831;11784.3627
p0p100;2011;78217.5;65795.9815;66594.8171;13947.1601;63489.8417;45665.3976;25788.7294;44774.1193;22950.4502;8446.4369;12664.7525;23727.2813;12004.7722
p0p100;2012;78853.8;65223.168;66201.8464;14891.5561;62761.1786;46471.8424;25878.7958;46357.6856;22883.7072;8656.852;13154.596;23965.5495;12224.8748
p0p100;2013;79810.6;65389.9403;66271.6828;15737.007;63504.3417;47729.9556;26610.2302;46850.659;22816.5797;8913.0803;13707.5643;23948.9077;12759.1244
p0p100;2014;80604.4;65418.8793;67114.5072;16868.1464;64462.5626;48180.9052;26205.1167;45696.3894;22636.735;9261.061;14038.205;24266.2088;13430.7829
p0p100;2015;82252.9;65928.8921;67824.6988;17812.2672;66033.5991;49105.4846;24804.706;44175.2592;22579.4836;9846.6291;14569.7855;25050.3995;13549.5892
p0p100;2016;82751.5;66286.453;69097.5242;18806.2596;66407.0885;49397.1274;23506.2937;42346.2375;22101.2806;10465.8178;15446.4731;25683.4984;13258.8515
p0p100;2017;84515.1;67565.8856;70595.91;19931.1789;68007.7356;50402.0087;23572.0023;43119.9542;21929.911;10961.1775;15697.7877;26041.287;12963.2803
p0p100;2018;86134.4;68119.4561;71351.8613;21016.41;68730.5987;50855.0983;23473.0897;45030.3213;21865.874;11522.7101;16154.7626;26409.9335;12854.838
p0p100;2019;87233.0;68543.0994;71819.1741;22082.9805;69586.0985;50212.5373;23514.5227;45519.6415;21496.1711;11762.0164;16488.8145;26796.0988;13001.0975
p0p100;2020;83373.2;62524.6795;67914.8103;22052.1548;60419.2001;47575.669;22309.7565;44549.9059;19822.5841;10948.4751;16239.0761;28156.7185;12562.2515
p0p100;2021;87979.0;67210.4131;70618.8603;23866.965;67625.5462;49405.4386;23035.266;47443.1449;20665.8747;11385.7757;16559.3153;29583.9681;12543.1417
p0p100;2022;89123.6;68607.541;71501.8125;24224.6262;70733.7352;51221.0284;23627.0543;46627.3361;20656.5892;12100.9899;17189.9479;30774.1607;12512.4572
p0p100;2023;90473.3;68678.9935;71054.3525;25305.5637;70134.3511;52571.0835;24107.5454;48326.2874;20439.0806;12851.9028;17656.6822;31246.688;12467.3045
